contact_age_0,contact_age_1,home,work,school,public,country,dayofweek,hh_size
0,28,True,False,False,False,PL,2,5
0,67,True,False,False,False,PL,2,5
0,11,True,False,False,False,PL,2,5
0,4,True,False,False,False,PL,2,5
0,32,False,False,False,False,NL,1,3
0,0,False,False,False,False,NL,1,3
0,32,False,False,False,False,NL,1,3
0,0,False,False,False,False,NL,1,3
0,35,False,False,False,False,NL,1,3
0,47,False,False,False,False,NL,1,3
0,33,True,False,False,False,NL,1,3
0,31,True,False,False,False,NL,1,3
0,32,True,False,False,False,NL,2,5
0,34,True,False,False,False,NL,2,5
0,5,True,False,False,False,NL,2,5
0,2,True,False,False,False,NL,2,5
0,0,False,False,False,True,NL,2,5
0,0,False,False,False,True,NL,2,5
0,37,False,False,False,True,NL,2,5
0,37,False,False,False,True,NL,2,5
0,39,False,False,False,True,NL,2,5
0,31,False,False,False,True,NL,2,5
0,32,False,False,False,True,NL,2,5
0,57,False,False,False,True,NL,2,5
0,57,False,False,False,True,NL,2,5
0,30,True,False,False,False,GB,4,5
0,54,True,False,False,False,GB,4,5
0,0,True,False,False,False,NL,6,4
0,0,True,False,False,False,NL,6,4
0,27,True,False,False,False,PL,3,4
0,0,False,False,False,False,NL,6,4
0,65,False,False,False,False,IT,3,3
0,70,False,False,False,False,IT,3,3
0,44,False,False,False,False,IT,3,3
0,52,True,False,False,False,NL,2,3
0,36,True,False,False,False,NL,2,3
0,32,True,False,False,False,NL,6,4
0,4,True,False,False,False,NL,6,4
0,33,True,False,False,False,NL,6,4
0,5,False,False,False,True,NL,6,4
0,9,False,False,False,True,NL,6,4
0,33,False,False,False,True,NL,6,4
0,38,False,False,False,True,NL,6,4
0,16,False,False,False,True,NL,6,4
0,3,False,False,False,False,NL,2,5
0,7,True,False,False,False,FI,0,1
0,30,True,False,False,False,FI,0,1
0,52,False,False,False,True,FI,0,1
0,60,False,False,False,False,NL,2,5
0,6,True,False,False,False,NL,2,5
0,9,True,False,False,False,NL,2,5
0,36,True,False,False,False,NL,2,5
0,32,True,False,False,False,NL,2,5
0,52,False,False,False,False,NL,3,4
0,32,False,False,False,False,NL,3,4
0,2,True,False,False,False,NL,3,4
0,30,True,False,False,False,NL,3,4
0,35,True,False,False,False,NL,3,4
0,16,False,False,False,False,NL,0,2
0,53,False,False,False,False,NL,0,2
0,32,False,False,False,False,IT,3,3
0,42,False,False,False,False,NL,0,2
0,38,True,False,False,False,IT,3,3
0,60,False,False,False,False,IT,3,3
0,0,True,False,False,False,NL,6,4
0,0,True,False,False,False,NL,6,4
0,14,True,False,False,False,NL,6,4
0,14,True,False,False,False,NL,6,4
0,1,True,False,False,False,LU,3,5
0,3,True,False,False,False,LU,3,5
0,37,True,False,False,False,LU,3,5
0,40,True,False,False,False,LU,3,5
0,36,False,False,False,False,LU,3,5
0,5,True,False,False,False,LU,3,5
0,6,True,False,False,False,LU,3,5
0,18,False,False,False,False,PL,3,4
0,47,False,False,False,False,PL,3,4
0,30,True,False,False,False,PL,3,4
0,6,False,False,False,False,PL,3,4
0,42,False,False,False,False,PL,3,4
0,59,True,False,False,False,PL,3,4
0,37,False,False,False,False,PL,3,4
0,32,False,False,False,False,IT,3,3
0,32,False,False,False,False,IT,3,3
0,30,False,False,False,False,IT,3,3
0,38,False,False,False,False,IT,3,3
0,51,False,False,False,False,IT,3,3
0,33,False,False,False,False,IT,3,3
0,38,True,False,False,False,IT,3,3
0,67,False,False,False,False,IT,3,3
0,40,False,False,False,False,IT,3,3
0,48,False,False,False,False,IT,3,3
0,54,False,False,False,False,IT,3,3
0,46,False,False,False,False,IT,3,3
0,42,True,False,False,True,DE,1,5
0,56,False,False,False,True,DE,4,3
0,9,True,False,False,True,DE,4,3
0,32,True,False,False,False,LU,0,5
0,30,False,False,False,False,LU,0,5
0,5,True,False,False,False,LU,0,5
0,10,True,False,False,False,FI,0,3
0,46,True,False,False,False,FI,0,3
0,38,True,False,False,False,FI,0,3
0,62,True,False,False,False,FI,0,3
0,66,True,False,False,False,FI,0,3
0,36,True,False,False,False,FI,0,3
0,60,True,False,False,False,LU,5,4
0,8,True,False,False,False,LU,5,4
0,42,True,False,False,False,LU,5,4
0,37,True,False,False,False,LU,5,4
0,32,True,False,False,False,LU,0,5
0,17,True,False,False,False,PL,5,3
0,33,True,False,False,False,PL,1,4
0,12,True,False,False,False,PL,1,4
0,66,True,False,False,False,PL,1,4
0,26,True,False,False,False,PL,1,4
0,62,True,False,False,False,PL,1,4
0,76,True,False,False,False,PL,3,6
0,42,False,False,False,False,LU,5,1
0,27,True,False,False,False,LU,5,1
0,26,True,False,False,False,LU,5,1
0,23,True,False,False,False,LU,6,4
0,42,False,False,False,False,LU,6,4
0,35,True,False,False,False,LU,6,4
0,4,True,False,False,False,LU,6,4
0,37,True,False,False,False,PL,1,4
0,50,True,False,False,False,LU,0,5
0,50,True,False,False,False,LU,0,5
0,55,True,False,False,False,LU,0,5
0,18,True,False,False,False,PL,5,3
0,31,True,False,False,False,PL,5,3
0,11,True,False,False,False,PL,5,3
0,31,True,False,False,False,PL,5,3
0,18,True,False,False,False,PL,5,3
0,56,True,False,False,False,PL,5,3
0,7,True,False,False,False,PL,5,3
0,50,True,False,False,False,PL,5,3
0,35,True,False,False,True,LU,0,4
0,36,True,False,False,True,LU,0,4
0,2,True,False,False,True,LU,0,4
0,42,False,False,False,True,LU,0,4
0,40,False,False,False,True,LU,0,4
0,42,False,False,False,True,LU,0,4
0,14,False,False,False,True,LU,0,4
0,44,True,False,False,False,FI,0,3
0,50,True,False,False,False,FI,0,3
0,24,True,False,False,False,FI,0,3
0,30,False,False,False,True,FI,0,3
0,0,True,False,False,False,PL,5,3
0,56,True,False,False,False,PL,5,3
0,26,True,False,False,False,PL,5,3
0,30,True,False,False,False,PL,5,3
0,7,True,False,False,False,PL,5,3
0,11,True,False,False,False,PL,5,3
0,20,False,False,True,False,PL,5,3
0,26,True,False,False,False,PL,5,3
0,50,True,False,False,False,PL,5,3
