governorate,population,ctc_locs,ctu_locs,orp_locs,personnel
Abyan,570000,,,,
Al Dhale'e,710000,,,,
Aden,890000,,,,
Al Bayda,750000,,,,
Al Hudaydah,3200000,,,,
Al Jawf,570000,2,11,32,148
Al Maharah,140000,,,,
Al Mahwit,720000,,,,
Amran,1100000,9,39,121,652
Dhamar,1900000,,,,
Hajjah,2100000,,,,
Ibb,2900000,,,,
Lahj,990000,,,,
Marib,340000,12,13,49,362
Sa'ada,850000,10,16,69,329
Sana'a,1200000,,,,
Shabwah,630000,15,29,59,491
Taizz,2800000,,,,
Amanat Al Asimah,2900000,,,,
Raymah,600000,,,,
