contact_age_0,contact_age_1,home,work,school,transport,leisure,country,dayofweek
0,4,True,False,False,False,False,LU,5
0,4,True,False,False,False,False,BE,6
0,4,True,False,False,False,False,LU,5
0,34,True,False,False,False,False,GB,5
0,11,True,False,False,False,False,BE,6
0,11,True,False,False,False,False,BE,6
0,35,True,False,False,False,False,FI,1
0,2,True,False,False,False,False,LU,5
0,40,True,False,False,False,False,FI,6
0,1,False,False,True,False,False,BE,2
0,7,True,False,False,False,False,LU,0
0,5,True,False,False,True,False,BE,1
0,35,True,False,False,False,False,GB,1
0,30,False,False,False,False,False,BE,2
0,54,False,False,False,False,False,GB,0
0,54,False,False,False,False,False,GB,0
0,49,False,False,False,False,True,LU,5
0,54,False,False,False,False,False,GB,0
0,23,True,False,False,False,False,NL,5
0,13,True,False,False,False,False,BE,2
0,30,False,False,False,False,True,LU,6
0,29,True,False,False,False,False,NL,5
0,15,False,False,False,True,True,FI,4
0,0,False,False,True,False,False,GB,3
0,55,True,False,False,False,False,NL,0
0,54,True,False,False,False,False,PL,3
0,21,True,False,False,True,True,GB,0
0,4,False,False,False,False,False,GB,3
0,35,False,False,False,False,False,GB,4
0,4,True,False,False,False,False,NL,1
0,32,True,False,False,False,False,FI,1
0,32,True,False,False,False,False,FI,1
0,3,False,False,False,False,False,NL,6
0,63,True,False,False,False,True,BE,0
0,32,False,False,False,False,True,FI,1
0,0,False,False,True,False,False,GB,3
0,0,False,False,True,False,False,GB,3
0,0,False,False,True,False,False,GB,3
0,2,True,False,False,False,False,NL,1
0,45,False,True,False,False,False,BE,1
0,0,False,False,True,False,False,GB,3
0,71,True,False,False,False,False,FI,6
0,34,False,False,False,False,False,LU,0
0,54,False,False,False,False,False,GB,0
0,3,True,False,False,False,False,GB,5
0,45,False,True,False,False,False,BE,1
0,27,True,False,False,False,False,GB,3
0,15,False,False,True,False,False,FI,2
0,13,True,False,False,False,False,BE,2
0,3,True,False,False,False,False,NL,1
1,0,False,False,False,False,False,LU,5
1,45,False,True,False,False,False,BE,1
1,3,True,False,False,False,False,IT,0
1,51,True,False,False,False,True,FI,6
1,45,False,True,False,False,False,BE,1
1,5,True,False,False,False,False,LU,3
1,32,False,False,False,False,True,FI,6
1,5,True,False,False,False,False,GB,2
1,34,True,False,False,True,True,FI,6
1,2,True,False,False,False,False,DE,4
1,35,True,False,False,False,True,GB,4
1,40,True,False,False,False,False,IT,1
1,26,True,False,False,False,False,PL,0
1,3,True,False,False,False,True,GB,6
1,36,False,False,False,False,True,FI,6
1,36,True,False,False,True,False,IT,0
1,37,False,False,True,False,False,BE,1
1,37,False,False,True,False,False,BE,1
1,37,False,False,True,False,False,BE,1
1,36,True,False,True,True,False,LU,3
1,26,True,False,False,False,False,GB,6
1,0,False,False,True,False,False,BE,5
1,8,True,False,False,False,False,GB,5
1,32,True,False,False,False,False,BE,2
1,26,True,False,False,False,False,GB,6
1,16,True,False,False,False,False,GB,4
1,26,False,False,False,False,False,FI,6
1,26,False,False,False,False,False,GB,5
1,18,True,False,False,False,False,BE,6
1,3,True,False,False,False,False,FI,3
1,43,False,True,False,False,False,GB,4
