"","location_code","S","E","I","Ia","R"
"168","municip3432",2048,0,0,0,0
"169","municip3433",2202,0,0,0,0
"170","municip3434",2360,0,0,0,0
"171","municip3435",3640,0,0,0,0
"172","municip3436",5723,0,0,0,0
"173","municip3437",5916,0,0,0,0
"174","municip3438",3163,0,0,0,0
"175","municip3439",4502,0,0,0,0
"176","municip3440",5082,0,0,0,0
"177","municip3441",6204,0,0,0,0
"178","municip3442",14887,0,0,0,0
"179","municip3443",13179,0,0,0,0
"180","municip3446",13707,0,0,0,0
"181","municip3447",5717,0,0,0,0
"182","municip3448",6773,0,0,0,0
"183","municip3449",3026,0,0,0,0
"184","municip3450",1351,0,0,0,0
"185","municip3451",6490,0,0,0,0
"186","municip3452",2114,0,0,0,0
"187","municip3453",3248,0,0,0,0
"188","municip3454",1596,0,0,0,0
"189","municip3801",27202,0,0,0,0
"190","municip3802",23533,0,0,0,0
"191","municip3803",54408,0,0,0,0
"192","municip3804",62019,0,0,0,0
"193","municip3805",46557,0,0,0,0
"194","municip3806",36198,0,0,0,0
"195","municip3807",54316,0,0,0,0
"196","municip3808",12757,0,0,0,0
"197","municip3811",26676,0,0,0,0
"198","municip3812",2357,0,0,0,0
"199","municip3813",14138,0,0,0,0
"200","municip3814",10586,0,0,0,0
"201","municip3815",4148,0,0,0,0
"202","municip3816",6585,0,0,0,0
"203","municip3817",10565,0,0,0,0
"204","municip3818",5894,0,0,0,0
"205","municip3819",1593,0,0,0,0
"206","municip3820",2979,0,0,0,0
"207","municip3821",2442,0,0,0,0
"208","municip3822",1476,0,0,0,0
"209","municip3823",1319,0,0,0,0
"210","municip3824",2228,0,0,0,0
"211","municip3825",3726,0,0,0,0
"212","municip4201",6936,0,0,0,0
"213","municip4202",22692,0,0,0,0
"214","municip4203",44576,0,0,0,0
"215","municip4204",107157,0,0,0,0
"216","municip4205",22859,0,0,0,0
"217","municip4206",9769,0,0,0,0
"218","municip4207",9090,0,0,0,0
